approval-date	reimbursement-id	case-id	amazon-order-id	reason	sku	fnsku	asin	product-name	condition	currency-unit	amount-per-unit	amount-total	quantity-reimbursed-cash	quantity-reimbursed-inventory	quantity-reimbursed-total	original-reimbursement-id	original-reimbursement-type
2026-05-21T01:04:41+00:00	8331074272		408-5432827-9116331	CustomerReturn	1630210	X00262W227	B09HH8CC7Y	Cubelelo Drift Number Sliding Magnetic Puzzle 4x4 | Toys For 6-10 Years Old Boys & Girls | 15-Blocks Brain Teaser Puzzle Game for Kids | Educational, Learning, Activity Toy for Return & Birthday Gifts	NewItem	INR	155.89	155.89	1	0	1		
2026-05-20T21:38:16+00:00	8330799722		402-2553580-9761921	CustomerReturn	1050200	X001GM0XER	B09K7QTCXP	Cubelelo Drift 5x5 Stickerless Speed Cube | AKA Professor's Cube Magic Puzzle for Kids & Adults | Smooth and Durable Speedy Brainstorming Puzzle| Ultimate Stress Buster and Mind Challenge	NewItem	INR	26.49	26.49	1	0	1		
2026-05-20T20:25:36+00:00	8330371132		407-0089628-0621137	CustomerServiceIssue	1630210	X00262W227	B09HH8CC7Y	Cubelelo Drift Number Sliding Magnetic Puzzle 4x4 | Toys For 6-10 Years Old Boys & Girls | 15-Blocks Brain Teaser Puzzle Game for Kids | Educational, Learning, Activity Toy for Return & Birthday Gifts	NewItem	INR	46.48	46.48	1	0	1		
2026-05-20T16:20:13+00:00	8329730622		404-3346820-9695516	CustomerReturn	1030300_EAN	X002C88WLZ	B0FBMGT6V7	Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults	NewItem	INR	41.60	41.60	1	0	1		
2026-05-20T15:32:51+00:00	8330114582		406-3662278-8013150	CustomerServiceIssue	1030400	X0012WM1NR	B07XPNC385	Cubelelo Drift 3x3 Black Speedcube | Beginner Cube for Kids & Adults | Magic Speed Stress Buster Brainstorming Puzzle (Multicolor) | Anti-Pop Technology | Smooth Turning | Durable	NewItem	INR	6.99	6.99	1	0	1		
2026-05-20T12:22:18+00:00	8328539612		171-4205631-7794731	CustomerReturn	1460553	X001WPZI9N	B0BYVHGR5H	Cubelelo Drift 2x2, 3x3 & Pyraminx Cube Combo (Stickerless) | Ideal for Kids Above 3 4 5 6 Years Old Boys Girls | 3 in 1 Speedcube Gift Set | High Speed Puzzle 3x3x3 2x2x2 Pyramid Triangle	NewItem	INR	379.66	379.66	1	0	1		
2026-05-20T11:52:46+00:00	8328782282		171-2531611-8777150	CustomerReturn	1120039	X0027ISPWL	B0DRVW5BNS	Cubelelo Drift 3x3 Mirror Blue (Tiled) Speed Cube | New Blue Version Looks Stunning with Buttery Smooth Turns | Ideal for Kids Above 5 6 Years Old Boys Girls | 3x3x3 Shape-Shifting Design Puzzle Toy	NewItem	INR	208.23	208.23	1	0	1		
2026-05-20T08:55:47+00:00	8327653172		404-9448826-8608363	CustomerServiceIssue	1460510	X001VW450P	B0BZL11XWC	Cubelelo Drift 4x4, 5x5 Premium Gift Box | 2-in-1 Puzzle Game Set | Challenge, Thrice The Fun | Ultimate Value Saver Combo | Brainstoming Toy for Children Kids & Adults	NewItem	INR	6.11	6.11	1	0	1		
2026-05-20T08:21:47+00:00	8327347502		408-1674365-7037111	CustomerReturn	1030300_EAN	X002C88WLZ	B0FBMGT6V7	Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults	NewItem	INR	12.48	12.48	1	0	1		
2026-05-20T08:20:26+00:00	8327351582		402-9767760-4221144	CustomerServiceIssue	1140034	X001WWIYG5	B0CP1XHDTC	Cubelelo Drift Gear 3x3 Tiled Black Puzzle - Unique Gear Mechanism Speedcube for Enthusiasts & Beginners | Durable, Smooth-Turning, and Visually Striking 3x3 Magic Cube for Kid	NewItem	INR	3.80	3.80	1	0	1		
2026-05-20T01:19:29+00:00	8326769872		403-9608128-6868357	CustomerServiceIssue	1120038a	X002CWQDK3	B0FHW9DQ29	Cubelelo Drift Mirror 3x3 (Tiled - Colored) Speed Cube | No Stickers, Premium Finish with Smooth Turning Speedcube for Kids and Adults	NewItem	INR	2.83	2.83	1	0	1		
2026-05-20T00:36:45+00:00	8326835102		406-8720264-0785150	CustomerReturn	1020200	X0019BU39P	B08LBJ3P8L	Cubelelo Drift 2x2 Stickerless Cube | Beginner Speedcube for Kids Boys Girls Above 3 4 5 6 Years Old & Above | Magic Puzzle Toy | Durable & Smooth Cube with Anti-Pop Design 2x2x2	NewItem	INR	117.80	117.80	1	0	1		
2026-05-19T23:56:20+00:00	8326584332		171-4472227-7709932	CustomerServiceIssue	1280600_EAN	X001PEDWDF	B0BSFD6XY8	Cubelelo Drift Pyraminx M (Magnetic) Puzzle | Toys for Kids 4 5 6 7 8 to 14 Years Old & Above Boys Girls All Ages | Stickerless Pyramid Triangle High Speed Gift Cube Toy | Travel Friendly	NewItem	INR	154.70	154.70	1	0	1		
2026-05-19T23:32:04+00:00	8326383642		406-1699780-8570742	CustomerReturn	1460503	X001VFXJDV	B08XK4V59M	Cubelelo Drift 2x2, 3x3 & 4x4 Premium Gift Box | 3-in-1 Puzzle Game Set | Triple the Challenge, Thrice the Fun | Ultimate Value Saver Combo | Brainstoming Toy for Children Kids & Adults	NewItem	INR	469.00	469.00	1	0	1		
2026-05-19T22:12:46+00:00	8326925322		402-7060309-7448334	CustomerServiceIssue	1630201	X001I5SK8D	B09QMNCWYG	Cubelelo Drift Infinity Cube (Green) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	NewItem	INR	199.80	199.80	1	0	1		
2026-05-19T20:29:17+00:00	8325660732		403-9185781-7452343	CustomerReturn	1030300_EAN	X002C88WLZ	B0FBMGT6V7	Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults	NewItem	INR	41.60	41.60	1	0	1		
2026-05-19T20:11:34+00:00	8326323582		408-8993646-0826736	CustomerReturn	1460523	X001VVUGZ9	B0CF9MJ1HV	Cubelelo Drift 3x3 Stickerless & Mirror Cube (Silver) Gift Box Combo Set | Ideal Gift for Puzzle Lovers | Toys for Kids 6-10 Year Old and Adults | 3x3x3 High Speed 3 3 & Shape Shifter	NewItem	INR	312.99	312.99	1	0	1		
2026-05-19T18:18:21+00:00	8325907232		403-2015870-9839520	CustomerServiceIssue	1460501	X001VLOAKL	B08XK25RRF	Cubelelo Drift 2x2 & 3x3 Cube Gift Box Combo | 2-in-1 Puzzle Toy Game Set for Children Kids & Adults Ages 4 5 6 & Above | Double the Challenge, Twice the Fun | Ultimate Value Saver Combo	NewItem	INR	183.51	183.51	1	0	1		
2026-05-19T16:25:33+00:00	8326159382		404-5469587-4333928	CustomerReturn	1630222	X002HPDYRF	B0GH18NXXG	Cubelelo Drift Magnetic Tangram Puzzle | with Strong Magnets, Wooden Pieces & Bold Colors | Toys for 5-10 Years Old Boys Girls & Adults | Travel Friendly, Educational Toy for Return & Birthday Gifts	NewItem	INR	133.23	133.23	1	0	1		
2026-05-19T16:08:16+00:00	8325579062		406-9096479-7463542	CustomerReturn	1030604	X0027JJHDB	B0DRVQVFJB	Cubelelo Drift 3M v3 3x3 Magnetic Speedcube (Standard) | Latest Version with New & Improved Internal Structure for Smooth Turns & Stability | Cube Toy for 6-10 Years Old Boys Girls Adults	NewItem	INR	26.49	26.49	1	0	1		
2026-05-19T14:32:13+00:00	8325059992		404-1736933-3342700	CustomerServiceIssue	1460521	X001VZFQYB	B0CGNW2MFJ	Cubelelo Drift Square-1 & Skewb Gift Box | Explore the new Dimension of Uniquely Shaped Puzzles | 2 in 1 Combo Pack of Dual Challenge Delight | Brainstoming Game Toy for Children Kids & Adults	NewItem	INR	707.10	707.10	1	0	1		
2026-05-19T11:11:37+00:00	8324661362		406-8030255-1129912	CustomerServiceIssue	1030604	X0027JJHDB	B0DRVQVFJB	Cubelelo Drift 3M v3 3x3 Magnetic Speedcube (Standard) | Latest Version with New & Improved Internal Structure for Smooth Turns & Stability | Cube Toy for 6-10 Years Old Boys Girls Adults	NewItem	INR	26.49	26.49	1	0	1		
2026-05-19T10:14:37+00:00	8323777372		405-8604951-4611549	CustomerReturn	1270100	X001F0AT1H	B09BZPFCZ8	Cubelelo Drift Mastermorphix Stickerless Cube Puzzle for Kids & Adults Speedy Stress Buster Brainstorming Cube	NewItem	INR	175.92	175.92	1	0	1		
2026-05-19T06:17:00+00:00	8323121172		405-8604951-4611549	CustomerReturn	1290300	X00239RFKR	B0DB6311DK	Cubelelo Drift Megaminx v2 Cube (New Improved Version) | 12-Sided Fun and Challenging Puzzle with Ridge Design | Smooth Turning Dodecahedron | Perfect for Speed-Cubing | Ideal for Kids & Adults	NewItem	INR	451.89	451.89	1	0	1		
2026-05-19T05:47:29+00:00	8323098562		405-8604951-4611549	CustomerReturn	1630300_EAN	X001S3KHTZ	B0C55MW9WL	Cubelelo Drift Column 3x3 Stickerless Speedcube Puzzle | Unique Cylindrical Speed Cube | Ultimate Stress Buster & Brainstorming Challenge for Kids & Adults | Smooth, Fast Puzzle for All Skill Levels	NewItem	INR	208.35	208.35	1	0	1		
