request-date	order-id	order-source	order-type	service-speed	order-status	last-updated-date	sku	fnsku	disposition	requested-quantity	cancelled-quantity	disposed-quantity	shipped-quantity	in-process-quantity	removal-fee	currency
2026-05-28T13:56:01+05:30	Xq5s8pi490	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-31T14:30:44+05:30	1020200	X0019BU39P	Unsellable	1	0		1	0	11.80	INR
2026-05-28T13:56:01+05:30	Xq5s8pi490	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-31T14:30:44+05:30	1060100	X001G4MZFF	Unsellable	1	0		1	0	11.80	INR
2026-05-28T13:56:01+05:30	Xq5s8pi490	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-31T14:30:44+05:30	1310036_EAN	X001PWQJFP	Unsellable	1	0		1	0	11.80	INR
2026-05-28T13:56:01+05:30	Xq5s8pi490	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-31T14:30:44+05:30	1630207	X001WVG7RT	Unsellable	1	0		1	0	11.80	INR
2026-05-28T13:56:01+05:30	Xq5s8pi490	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-31T14:30:44+05:30	1030604	X0027JJHDB	Unsellable	2	0		2	0	23.60	INR
2026-05-28T13:56:01+05:30	Xq5s8pi490	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-31T14:30:44+05:30	1040400	X002DFU80F	Unsellable	1	0		1	0	11.80	INR
2026-05-28T13:55:50+05:30	Xq5s8pi489	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Pending	2026-05-28T17:35:17+05:30	1030300_EAN	X002C88WLZ	Unsellable	1	0		0	1		
2026-05-28T13:55:40+05:30	Xq5s8pi488	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-30T18:21:17+05:30	1630202	X001ETHG47	Unsellable	2	0		2	0	23.60	INR
2026-05-28T13:55:40+05:30	Xq5s8pi488	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-30T18:21:17+05:30	1030300_EAN	X002C88WLZ	Unsellable	1	0		1	0	11.80	INR
2026-05-28T13:55:30+05:30	Xq5s8pi487	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-06-01T18:53:09+05:30	1290300	X00239RFKR	Unsellable	1	0		1	0	11.80	INR
2026-05-28T13:55:22+05:30	Xq5s8pi486	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-31T02:35:31+05:30	1030400	X0012WM1NR	Unsellable	1	0		1	0	11.80	INR
2026-05-28T13:55:22+05:30	Xq5s8pi486	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-31T02:35:31+05:30	1140022	X001602BQR	Unsellable	1	0		1	0	11.80	INR
2026-05-28T13:55:22+05:30	Xq5s8pi486	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-31T02:35:31+05:30	1120100	X0019BU32H	Unsellable	1	0		1	0	11.80	INR
