approval-date	reimbursement-id	case-id	amazon-order-id	reason	sku	fnsku	asin	product-name	condition	currency-unit	amount-per-unit	amount-total	quantity-reimbursed-cash	quantity-reimbursed-inventory	quantity-reimbursed-total	original-reimbursement-id	original-reimbursement-type
2026-05-07T02:03:34+00:00	8274407052		402-4182457-7453154	CustomerReturn	1030400	X0012WM1NR	B07XPNC385	Cubelelo Drift 3x3 Black Speedcube | Beginner Cube for Kids & Adults | Magic Speed Stress Buster Brainstorming Puzzle (Multicolor) | Anti-Pop Technology | Smooth Turning | Durable	NewItem	INR	6.61	6.61	1	0	1		
2026-05-07T01:03:13+00:00	8274592342		403-2644386-0754749	CustomerServiceIssue	1120038a	X002CWQDK3	B0FHW9DQ29	Cubelelo Drift Mirror 3x3 (Tiled - Colored) Speed Cube | No Stickers, Premium Finish with Smooth Turning Speedcube for Kids and Adults	NewItem	INR	2.84	2.84	1	0	1		
2026-05-06T22:43:30+00:00	8274345952		404-2584659-3393129	CustomerReturn	1960100	X001ESH40T	B09B75WYR2	Cubelelo Drift Mini 3x3 Keychain | Magic Speed Cube Toy | Puzzle for Kids and Adults | Compact and Handy Multi Purpose Brain Teaser Game for Fun and Joy | for Ages 3 Years and Above	NewItem	INR	13.61	13.61	1	0	1		
2026-05-06T21:33:20+00:00	8273947952		404-1648022-1484332	CustomerServiceIssue	1120038a	X002CWQDK3	B0FHW9DQ29	Cubelelo Drift Mirror 3x3 (Tiled - Colored) Speed Cube | No Stickers, Premium Finish with Smooth Turning Speedcube for Kids and Adults	NewItem	INR	2.84	2.84	1	0	1		
2026-05-06T20:25:27+00:00	8273936722		404-2584659-3393129	CustomerServiceIssue	1960100	X001ESH40T	B09B75WYR2	Cubelelo Drift Mini 3x3 Keychain | Magic Speed Cube Toy | Puzzle for Kids and Adults | Compact and Handy Multi Purpose Brain Teaser Game for Fun and Joy | for Ages 3 Years and Above	NewItem	INR	13.61	13.61	1	0	1		
2026-05-06T18:56:49+00:00	8273487282		171-1584015-0008358	CustomerReturn	1630223	X002IIXAZ7	B0GN1TJ7F4	Cubelelo Drift Clang! | 2-4 Players Classic Magnetic Attraction Strategy Game | Features 24 Magnets & Adjustable Rope | Fun Gifting Toy for Family, Teens & Adults | Compact and Travel Friendly	NewItem	INR	447.76	447.76	1	0	1		
2026-05-06T17:09:16+00:00	8273366372		403-8057342-2597951	CustomerReturn	1030400	X0012WM1NR	B07XPNC385	Cubelelo Drift 3x3 Black Speedcube | Beginner Cube for Kids & Adults | Magic Speed Stress Buster Brainstorming Puzzle (Multicolor) | Anti-Pop Technology | Smooth Turning | Durable	NewItem	INR	0.88	0.88	1	0	1		
2026-05-06T16:57:46+00:00	8273564722		407-6680498-4346701	CustomerServiceIssue	1140022	X001602BQR	B08169YZPG	Cubelelo Drift Gear 3x3 Stickerless Cube Speed Cube | Toy for Kids & Adults | Magic Speedy Stress Buster Brainstorming Puzzle 3x3x3 (Multicolor)	NewItem	INR	79.61	79.61	1	0	1		
2026-05-06T16:33:43+00:00	8273356112		406-7916920-2030769	CustomerServiceIssue	1030604	X0027JJHDB	B0DRVQVFJB	Cubelelo Drift 3M v3 3x3 Magnetic Speedcube (Standard) | Latest Version with New & Improved Internal Structure for Smooth Turns & Stability | Cube Toy for 6-10 Years Old Boys Girls Adults	NewItem	INR	332.04	332.04	1	0	1		
2026-05-06T10:37:25+00:00	8272045812			Damaged_Warehouse	1030300_EAN	X002C88WLZ	B0FBMGT6V7	Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults	NewItem	INR	12.48	12.48	1	0	1		
2026-05-06T10:37:24+00:00	8272045782			Damaged_Warehouse	1030300_EAN	X002C88WLZ	B0FBMGT6V7	Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults	NewItem	INR	12.48	12.48	1	0	1		
2026-05-06T09:44:46+00:00	8271423222		407-1857701-8699551	CustomerServiceIssue	1460503	X001VFXJDV	B08XK4V59M	Cubelelo Drift 2x2, 3x3 & 4x4 Premium Gift Box | 3-in-1 Puzzle Game Set | Triple the Challenge, Thrice the Fun | Ultimate Value Saver Combo | Brainstoming Toy for Children Kids & Adults	NewItem	INR	37.52	37.52	1	0	1		
