return-date	order-id	sku	asin	fnsku	product-name	quantity	fulfillment-center-id	detailed-disposition	reason	license-plate-number	customer-comments
2026-05-16T04:48:36+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P4883219	
2026-05-16T04:48:36+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P4883212	
2026-05-16T04:48:36+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P4883216	
2026-05-16T04:48:36+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P4883222	
2026-05-16T04:48:36+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P4883220	
2026-05-16T04:48:36+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P4883215	
2026-05-16T04:48:36+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P4883217	
2026-05-16T04:48:36+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P4883213	
2026-05-16T04:48:36+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P4883225	
2026-05-16T04:44:26+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P6382569	
2026-05-16T04:44:26+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P6382568	
2026-05-16T04:44:26+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P6382577	
2026-05-16T04:44:26+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P6382560	
2026-05-16T04:44:26+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P6382555	
2026-05-16T04:44:26+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P6382564	
2026-05-16T04:44:26+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P6382573	
2026-05-16T04:44:26+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P6382571	
2026-05-16T04:44:26+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P6382581	
2026-05-16T04:44:26+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P6382565	
2026-05-16T04:44:26+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P6382580	
2026-05-16T04:44:26+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P6382558	
2026-05-16T04:44:26+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P6382566	
2026-05-16T04:44:26+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P6382563	
2026-05-16T04:44:26+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P6382567	
2026-05-16T04:44:26+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P6382557	
2026-05-16T04:44:26+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P6382556	
2026-05-16T04:44:26+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P6382562	
2026-05-16T04:44:26+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P6382570	
2026-05-16T04:44:26+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P6382561	
2026-05-16T04:44:26+00:00	405-0047558-0902732	1630202	B09B7PNSTV	X001ETHG47	Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P6382559	
2026-05-16T04:40:45+00:00	406-4674178-3920358	1460577	B0D9NW55MK	X00232KSTT	Cubelelo Drift 2x2 with Cube Lubricant and Stand Combo | High-Performance Speed Cube | Smooth Turning & Durable | Ideal for All Ages	1	DEL2	SELLABLE	SWITCHEROO	LPNDEL2R81197161	I ordered a 2x2 and was sent a 4x4 can u replace it with the correct order
2026-05-16T04:40:09+00:00	171-7932965-7675518	1030604	B0DRVQVFJB	X0027JJHDB	Cubelelo Drift 3M v3 3x3 Magnetic Speedcube (Standard) | Latest Version with New & Improved Internal Structure for Smooth Turns & Stability | Cube Toy for 6-10 Years Old Boys Girls Adults	1	DEL2	SELLABLE	SWITCHEROO	LPNDEL2R83889748	
